,Team 2,Date,Team 1,Location,Month
0,Williams,Fri. 16,Connecticut College,Connecticut College,September
1,Amherst,Fri. 16,Wesleyan,Wesleyan,September
2,Colby,Fri. 16,Bowdoin,Bowdoin,September
3,Tufts,Fri. 16,Hamilton,Connecticut College,September
4,Trinity,Fri. 16,Middlebury,Wesleyan,September
5,Williams,Sat. 17,Tufts,Connecticut College,September
6,Amherst,Sat. 17,Trinity,Wesleyan,September
7,Bates,Sat. 17,Colby,Colby,September
8,Hamilton,Sat. 17,Connecticut College,Connecticut College,September
9,Middlebury,Sat. 17,Wesleyan,Wesleyan,September
10,Bowdoin,Sun. 18,Bates,Bates,September
11,Tufts,Fri. 30,Bowdoin,Bowdoin,September
12,Trinity,Fri. 30,Hamilton,Hamilton,September
13,Amherst,Fri. 30,Middlebury,Middlebury,September
14,Colby,Fri. 30,Connecticut College,Bowdoin,September
15,Williams,Fri. 30,Wesleyan,Hamilton,September
16,Tufts,Sat. 1,Bates,Bowdoin,October
17,Trinity,Sat. 1,Williams,Hamilton,October
18,Connecticut College,Sat. 1,Bowdoin,Bowdoin,October
19,Connecticut College,Sat. 1,Bates,Bowdoin,October
20,Wesleyan,Sat. 1,Hamilton,Hamilton,October
21,Colby,Sat. 1,Tufts,Bowdoin,October
22,Williams,Sat. 1,Hamilton,Hamilton,October
23,Bowdoin,Fri. 7,Williams,Williams,October
24,Amherst,Fri. 7,Tufts,Tufts,October
25,Wesleyan,Fri. 7,Trinity,Trinity,October
26,Bates,Fri. 7,Hamilton,Williams,October
27,Middlebury,Fri. 7,Connecticut College,Tufts,October
28,Connecticut College,Sat. 8,Amherst,Tufts,October
29,Colby,Sat. 8,Hamilton,Williams,October
30,Bates,Sat. 8,Williams,Williams,October
31,Colby,Sat. 8,Williams,Williams,October
32,Bowdoin,Sat. 8,Hamilton,Williams,October
33,Middlebury,Sat. 8,Tufts,Tufts,October
34,Connecticut College,Fri. 14,Trinity,Trinity,October
35,Amherst,Fri. 14,Colby,Colby,October
36,Tufts,Fri. 14,Wesleyan,Trinity,October
37,Middlebury,Fri. 14,Bowdoin,Colby,October
38,Bowdoin,Sat. 15,Amherst,Colby,October
39,Connecticut College,Sat. 15,Wesleyan,Trinity,October
40,Bates,Sat. 15,Middlebury,Colby,October
41,Tufts,Sat. 15,Trinity,Trinity,October
42,Amherst,Sat. 15,Bates,Colby,October
43,Middlebury,Sat. 15,Colby,Colby,October
44,Williams,Fri. 28,Amherst,Amherst,October
45,Tufts,Fri. 28,Connecticut College,Connecticut College,October
46,Trinity,Fri. 28,Bates,Bates,October
47,Hamilton,Fri. 28,Middlebury,Amherst,October
48,Wesleyan,Fri. 28,Bowdoin,Bates,October
49,Trinity,Sat. 29,Bowdoin,Bates,October
50,Williams,Sat. 29,Middlebury,Amherst,October
51,Colby,Sat. 29,Wesleyan,Bates,October
52,Wesleyan,Sat. 29,Bates,Bates,October
53,Hamilton,Sat. 29,Amherst,Amherst,October
54,Trinity,Sat. 29,Colby,Bates,October
