,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,0,Amherst College,Bates College,Bowdoin College
1,0,Sat.,4,Amherst College,Colby College,Bowdoin College
2,0,Sat.,6,Amherst College,Bowdoin College,Bowdoin College
3,1,Sat.,1,Amherst College,Middlebury College,Williams College
4,2,Sat.,1,Amherst College,Hamilton College,Williams College
5,3,Fri.,0,Amherst College,Trinity College,Amherst College
6,3,Sat.,2,Amherst College,Williams College,Amherst College
7,4,Fri.,2,Amherst College,Tufts University,Trinity College
8,4,Sat.,4,Amherst College,Wesleyan University,Trinity College
9,4,Sat.,5,Amherst College,Connecticut College,Trinity College
10,0,Fri.,0,Bates College,Amherst College,Bowdoin College
11,0,Sat.,3,Bates College,Trinity College,Bowdoin College
12,0,Sat.,7,Bates College,Williams College,Bowdoin College
13,1,Fri.,2,Bates College,Connecticut College,Tufts University
14,1,Sat.,3,Bates College,Tufts University,Tufts University
15,1,Sat.,8,Bates College,Wesleyan University,Tufts University
16,2,Fri.,0,Bates College,Bowdoin College,Colby College
17,2,Sat.,2,Bates College,Colby College,Colby College
18,3,Sat.,2,Bates College,Middlebury College,Middlebury College
19,4,Sat.,1,Bates College,Hamilton College,Bates College
20,0,Fri.,2,Bowdoin College,Trinity College,Bowdoin College
21,0,Sat.,5,Bowdoin College,Williams College,Bowdoin College
22,0,Sat.,6,Bowdoin College,Amherst College,Bowdoin College
23,1,Fri.,0,Bowdoin College,Wesleyan University,Tufts University
24,1,Sat.,5,Bowdoin College,Connecticut College,Tufts University
25,1,Sat.,7,Bowdoin College,Tufts University,Tufts University
26,2,Fri.,0,Bowdoin College,Bates College,Colby College
27,2,Sat.,1,Bowdoin College,Colby College,Colby College
28,3,Sat.,1,Bowdoin College,Middlebury College,Middlebury College
29,4,Fri.,0,Bowdoin College,Hamilton College,Bates College
30,0,Fri.,1,Colby College,Williams College,Bowdoin College
31,0,Sat.,4,Colby College,Amherst College,Bowdoin College
32,0,Sat.,8,Colby College,Trinity College,Bowdoin College
33,1,Fri.,1,Colby College,Tufts University,Tufts University
34,1,Sat.,4,Colby College,Wesleyan University,Tufts University
35,1,Sat.,6,Colby College,Connecticut College,Tufts University
36,2,Sat.,1,Colby College,Bowdoin College,Colby College
37,2,Sat.,2,Colby College,Bates College,Colby College
38,3,Fri.,0,Colby College,Middlebury College,Middlebury College
39,4,Sat.,2,Colby College,Hamilton College,Bates College
40,0,Fri.,0,Connecticut College,Wesleyan University,Connecticut College
41,0,Sat.,2,Connecticut College,Tufts University,Connecticut College
42,1,Fri.,2,Connecticut College,Bates College,Tufts University
43,1,Sat.,5,Connecticut College,Bowdoin College,Tufts University
44,1,Sat.,6,Connecticut College,Colby College,Tufts University
45,2,Fri.,0,Connecticut College,Middlebury College,Wesleyan University
46,3,Sat.,1,Connecticut College,Hamilton College,Wesleyan University
47,4,Fri.,0,Connecticut College,Trinity College,Trinity College
48,4,Sat.,5,Connecticut College,Amherst College,Trinity College
49,4,Sat.,8,Connecticut College,Williams College,Trinity College
50,0,Sat.,0,Hamilton College,Middlebury College,Hamilton College
51,2,Fri.,0,Hamilton College,Williams College,Williams College
52,2,Sat.,1,Hamilton College,Amherst College,Williams College
53,2,Sat.,2,Hamilton College,Trinity College,Williams College
54,3,Fri.,0,Hamilton College,Wesleyan University,Wesleyan University
55,3,Sat.,1,Hamilton College,Connecticut College,Wesleyan University
56,3,Sat.,2,Hamilton College,Tufts University,Wesleyan University
57,4,Fri.,0,Hamilton College,Bowdoin College,Bates College
58,4,Sat.,1,Hamilton College,Bates College,Bates College
59,4,Sat.,2,Hamilton College,Colby College,Bates College
60,0,Sat.,0,Middlebury College,Hamilton College,Hamilton College
61,1,Fri.,0,Middlebury College,Williams College,Williams College
62,1,Sat.,1,Middlebury College,Amherst College,Williams College
63,1,Sat.,2,Middlebury College,Trinity College,Williams College
64,2,Fri.,0,Middlebury College,Connecticut College,Wesleyan University
65,2,Sat.,1,Middlebury College,Tufts University,Wesleyan University
66,2,Sat.,2,Middlebury College,Wesleyan University,Wesleyan University
67,3,Fri.,0,Middlebury College,Colby College,Middlebury College
68,3,Sat.,1,Middlebury College,Bowdoin College,Middlebury College
69,3,Sat.,2,Middlebury College,Bates College,Middlebury College
70,0,Fri.,2,Trinity College,Bowdoin College,Bowdoin College
71,0,Sat.,3,Trinity College,Bates College,Bowdoin College
72,0,Sat.,8,Trinity College,Colby College,Bowdoin College
73,1,Sat.,2,Trinity College,Middlebury College,Williams College
74,2,Sat.,2,Trinity College,Hamilton College,Williams College
75,3,Fri.,0,Trinity College,Amherst College,Amherst College
76,3,Sat.,1,Trinity College,Williams College,Amherst College
77,4,Fri.,0,Trinity College,Connecticut College,Trinity College
78,4,Sat.,6,Trinity College,Wesleyan University,Trinity College
79,4,Sat.,7,Trinity College,Tufts University,Trinity College
80,0,Sat.,1,Tufts University,Wesleyan University,Connecticut College
81,0,Sat.,2,Tufts University,Connecticut College,Connecticut College
82,1,Fri.,1,Tufts University,Colby College,Tufts University
83,1,Sat.,3,Tufts University,Bates College,Tufts University
84,1,Sat.,7,Tufts University,Bowdoin College,Tufts University
85,2,Sat.,1,Tufts University,Middlebury College,Wesleyan University
86,3,Sat.,2,Tufts University,Hamilton College,Wesleyan University
87,4,Fri.,2,Tufts University,Amherst College,Trinity College
88,4,Sat.,3,Tufts University,Williams College,Trinity College
89,4,Sat.,7,Tufts University,Trinity College,Trinity College
90,0,Fri.,0,Wesleyan University,Connecticut College,Connecticut College
91,0,Sat.,1,Wesleyan University,Tufts University,Connecticut College
92,1,Fri.,0,Wesleyan University,Bowdoin College,Tufts University
93,1,Sat.,4,Wesleyan University,Colby College,Tufts University
94,1,Sat.,8,Wesleyan University,Bates College,Tufts University
95,2,Sat.,2,Wesleyan University,Middlebury College,Wesleyan University
96,3,Fri.,0,Wesleyan University,Hamilton College,Wesleyan University
97,4,Fri.,1,Wesleyan University,Williams College,Trinity College
98,4,Sat.,4,Wesleyan University,Amherst College,Trinity College
99,4,Sat.,6,Wesleyan University,Trinity College,Trinity College
100,0,Fri.,1,Williams College,Colby College,Bowdoin College
101,0,Sat.,5,Williams College,Bowdoin College,Bowdoin College
102,0,Sat.,7,Williams College,Bates College,Bowdoin College
103,1,Fri.,0,Williams College,Middlebury College,Williams College
104,2,Fri.,0,Williams College,Hamilton College,Williams College
105,3,Sat.,1,Williams College,Trinity College,Amherst College
106,3,Sat.,2,Williams College,Amherst College,Amherst College
107,4,Fri.,1,Williams College,Wesleyan University,Trinity College
108,4,Sat.,3,Williams College,Tufts University,Trinity College
109,4,Sat.,8,Williams College,Connecticut College,Trinity College
