,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2019-09-20,Amherst College,Bates College,Bates College
1,Sat.,2019-09-21,Amherst College,Colby College,Colby College
2,Fri.,2019-09-27,Amherst College,Middlebury College,Amherst College
3,Sat.,2019-10-05,Amherst College,Trinity College,Trinity College
4,Fri.,2019-10-11,Amherst College,Connecticut College,Amherst College
5,Sat.,2019-10-12,Amherst College,Wesleyan University,Amherst College
6,Fri.,2019-10-25,Amherst College,Tufts University,Amherst College
7,Sat.,2019-10-26,Amherst College,Bowdoin College,Amherst College
8,Fri.,2019-11-01,Amherst College,Hamilton College,Hamilton College
9,Sat.,2019-11-02,Amherst College,Williams College,Williams College
10,Fri.,2019-09-20,Bates College,Amherst College,Bates College
11,Sat.,2019-09-21,Bates College,Middlebury College,Bates College
12,Sat.,2019-09-28,Bates College,Colby College,Bates College
13,Fri.,2019-10-04,Bates College,Connecticut College,Bates College
14,Sat.,2019-10-05,Bates College,Wesleyan University,Bates College
15,Fri.,2019-10-11,Bates College,Hamilton College,Hamilton College
16,Sat.,2019-10-12,Bates College,Williams College,Williams College
17,Sat.,2019-10-26,Bates College,Trinity College,Bates College
18,Fri.,2019-11-01,Bates College,Tufts University,Tufts University
19,Sat.,2019-11-02,Bates College,Bowdoin College,Bowdoin College
20,Fri.,2019-09-20,Bowdoin College,Wesleyan University,Wesleyan University
21,Sat.,2019-09-21,Bowdoin College,Connecticut College,Connecticut College
22,Fri.,2019-09-27,Bowdoin College,Tufts University,Tufts University
23,Fri.,2019-10-04,Bowdoin College,Williams College,Bowdoin College
24,Sat.,2019-10-05,Bowdoin College,Hamilton College,Bowdoin College
25,Fri.,2019-10-11,Bowdoin College,Trinity College,Trinity College
26,Fri.,2019-10-25,Bowdoin College,Middlebury College,Middlebury College
27,Sat.,2019-10-26,Bowdoin College,Amherst College,Amherst College
28,Fri.,2019-11-01,Bowdoin College,Colby College,Bowdoin College
29,Sat.,2019-11-02,Bowdoin College,Bates College,Bowdoin College
30,Fri.,2019-09-20,Colby College,Middlebury College,Colby College
31,Sat.,2019-09-21,Colby College,Amherst College,Colby College
32,Sat.,2019-09-28,Colby College,Bates College,Bates College
33,Fri.,2019-10-04,Colby College,Wesleyan University,Colby College
34,Sat.,2019-10-05,Colby College,Connecticut College,Colby College
35,Fri.,2019-10-11,Colby College,Williams College,Williams College
36,Sat.,2019-10-12,Colby College,Hamilton College,Hamilton College
37,Fri.,2019-10-25,Colby College,Trinity College,Colby College
38,Fri.,2019-11-01,Colby College,Bowdoin College,Bowdoin College
39,Sat.,2019-11-02,Colby College,Tufts University,Tufts University
40,Fri.,2019-09-20,Connecticut College,Tufts University,Connecticut College
41,Sat.,2019-09-21,Connecticut College,Bowdoin College,Connecticut College
42,Thu.,2019-09-26,Connecticut College,Wesleyan University,Connecticut College
43,Fri.,2019-10-04,Connecticut College,Bates College,Bates College
44,Sat.,2019-10-05,Connecticut College,Colby College,Colby College
45,Fri.,2019-10-11,Connecticut College,Amherst College,Amherst College
46,Sat.,2019-10-12,Connecticut College,Middlebury College,Middlebury College
47,Fri.,2019-10-25,Connecticut College,Hamilton College,Connecticut College
48,Sat.,2019-10-26,Connecticut College,Williams College,Connecticut College
49,Fri.,2019-11-01,Connecticut College,Trinity College,Connecticut College
50,Sat.,2019-09-21,Hamilton College,Trinity College,Hamilton College
51,Fri.,2019-09-27,Hamilton College,Williams College,Hamilton College
52,Fri.,2019-10-04,Hamilton College,Tufts University,Tufts University
53,Sat.,2019-10-05,Hamilton College,Bowdoin College,Bowdoin College
54,Fri.,2019-10-11,Hamilton College,Bates College,Hamilton College
55,Sat.,2019-10-12,Hamilton College,Colby College,Hamilton College
56,Fri.,2019-10-25,Hamilton College,Connecticut College,Connecticut College
57,Sat.,2019-10-26,Hamilton College,Wesleyan University,Wesleyan University
58,Fri.,2019-11-01,Hamilton College,Amherst College,Hamilton College
59,Sat.,2019-11-02,Hamilton College,Middlebury College,Hamilton College
60,Fri.,2019-09-20,Middlebury College,Colby College,Colby College
61,Sat.,2019-09-21,Middlebury College,Bates College,Bates College
62,Fri.,2019-09-27,Middlebury College,Amherst College,Amherst College
63,Fri.,2019-10-04,Middlebury College,Trinity College,Trinity College
64,Fri.,2019-10-11,Middlebury College,Wesleyan University,Middlebury College
65,Sat.,2019-10-12,Middlebury College,Connecticut College,Middlebury College
66,Fri.,2019-10-25,Middlebury College,Bowdoin College,Middlebury College
67,Sat.,2019-10-26,Middlebury College,Tufts University,Middlebury College
