,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,2,Amherst College,Bates College,Bowdoin College
1,0,Sat.,3,Amherst College,Bowdoin College,Bowdoin College
2,0,Sat.,5,Amherst College,Colby College,Bowdoin College
3,1,Fri.,0,Amherst College,Tufts University,Tufts University
4,2,Sat.,2,Amherst College,Hamilton College,Middlebury College
5,3,Sat.,1,Amherst College,Middlebury College,Williams College
6,3,Sat.,2,Amherst College,Williams College,Williams College
7,4,Fri.,0,Amherst College,Wesleyan University,Amherst College
8,4,Sat.,5,Amherst College,Trinity College,Amherst College
9,4,Sat.,7,Amherst College,Connecticut College,Amherst College
10,0,Fri.,2,Bates College,Amherst College,Bowdoin College
11,0,Sat.,6,Bates College,Middlebury College,Bowdoin College
12,0,Sat.,7,Bates College,Williams College,Bowdoin College
13,1,Fri.,2,Bates College,Connecticut College,Wesleyan University
14,1,Sat.,3,Bates College,Wesleyan University,Wesleyan University
15,1,Sat.,4,Bates College,Trinity College,Wesleyan University
16,2,Fri.,0,Bates College,Colby College,Colby College
17,2,Sat.,2,Bates College,Bowdoin College,Colby College
18,3,Sat.,2,Bates College,Tufts University,Bates College
19,4,Fri.,0,Bates College,Hamilton College,Bates College
20,0,Fri.,1,Bowdoin College,Middlebury College,Bowdoin College
21,0,Sat.,3,Bowdoin College,Amherst College,Bowdoin College
22,0,Sat.,8,Bowdoin College,Williams College,Bowdoin College
23,1,Fri.,1,Bowdoin College,Trinity College,Wesleyan University
24,1,Sat.,5,Bowdoin College,Wesleyan University,Wesleyan University
25,1,Sat.,6,Bowdoin College,Connecticut College,Wesleyan University
26,2,Sat.,1,Bowdoin College,Colby College,Colby College
27,2,Sat.,2,Bowdoin College,Bates College,Colby College
28,3,Fri.,0,Bowdoin College,Tufts University,Bates College
29,4,Sat.,2,Bowdoin College,Hamilton College,Bates College
30,0,Fri.,0,Colby College,Williams College,Bowdoin College
31,0,Sat.,4,Colby College,Middlebury College,Bowdoin College
32,0,Sat.,5,Colby College,Amherst College,Bowdoin College
33,1,Fri.,0,Colby College,Wesleyan University,Wesleyan University
34,1,Sat.,7,Colby College,Connecticut College,Wesleyan University
35,1,Sat.,8,Colby College,Trinity College,Wesleyan University
36,2,Fri.,0,Colby College,Bates College,Colby College
37,2,Sat.,1,Colby College,Bowdoin College,Colby College
38,3,Sat.,1,Colby College,Tufts University,Bates College
39,4,Sat.,1,Colby College,Hamilton College,Bates College
40,0,Sat.,1,Connecticut College,Wesleyan University,Connecticut College
41,0,Sat.,2,Connecticut College,Trinity College,Connecticut College
42,1,Fri.,2,Connecticut College,Bates College,Wesleyan University
43,1,Sat.,6,Connecticut College,Bowdoin College,Wesleyan University
44,1,Sat.,7,Connecticut College,Colby College,Wesleyan University
45,2,Sat.,1,Connecticut College,Tufts University,Trinity College
46,3,Fri.,0,Connecticut College,Hamilton College,Trinity College
47,4,Fri.,2,Connecticut College,Williams College,Amherst College
48,4,Sat.,6,Connecticut College,Middlebury College,Amherst College
49,4,Sat.,7,Connecticut College,Amherst College,Amherst College
50,0,Sat.,0,Hamilton College,Tufts University,Hamilton College
51,2,Fri.,0,Hamilton College,Williams College,Middlebury College
52,2,Sat.,1,Hamilton College,Middlebury College,Middlebury College
53,2,Sat.,2,Hamilton College,Amherst College,Middlebury College
54,3,Fri.,0,Hamilton College,Connecticut College,Trinity College
55,3,Sat.,1,Hamilton College,Wesleyan University,Trinity College
56,3,Sat.,2,Hamilton College,Trinity College,Trinity College
57,4,Fri.,0,Hamilton College,Bates College,Bates College
58,4,Sat.,1,Hamilton College,Colby College,Bates College
59,4,Sat.,2,Hamilton College,Bowdoin College,Bates College
60,0,Fri.,1,Middlebury College,Bowdoin College,Bowdoin College
61,0,Sat.,4,Middlebury College,Colby College,Bowdoin College
62,0,Sat.,6,Middlebury College,Bates College,Bowdoin College
63,1,Sat.,1,Middlebury College,Tufts University,Tufts University
64,2,Sat.,1,Middlebury College,Hamilton College,Middlebury College
65,3,Fri.,0,Middlebury College,Williams College,Williams College
66,3,Sat.,1,Middlebury College,Amherst College,Williams College
67,4,Fri.,1,Middlebury College,Trinity College,Amherst College
68,4,Sat.,6,Middlebury College,Connecticut College,Amherst College
69,4,Sat.,8,Middlebury College,Wesleyan University,Amherst College
70,0,Fri.,0,Trinity College,Wesleyan University,Connecticut College
71,0,Sat.,2,Trinity College,Connecticut College,Connecticut College
72,1,Fri.,1,Trinity College,Bowdoin College,Wesleyan University
73,1,Sat.,4,Trinity College,Bates College,Wesleyan University
74,1,Sat.,8,Trinity College,Colby College,Wesleyan University
75,2,Fri.,0,Trinity College,Tufts University,Trinity College
76,3,Sat.,2,Trinity College,Hamilton College,Trinity College
77,4,Fri.,1,Trinity College,Middlebury College,Amherst College
78,4,Sat.,4,Trinity College,Williams College,Amherst College
79,4,Sat.,5,Trinity College,Amherst College,Amherst College
80,0,Sat.,0,Tufts University,Hamilton College,Hamilton College
