,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Sat.,0,Amherst College,Tufts University,Amherst College
1,0,Fri.,0,Colby College,Hamilton College,Bowdoin College
2,0,Fri.,1,Bowdoin College,Middlebury College,Bowdoin College
3,0,Sat.,2,Bowdoin College,Hamilton College,Bowdoin College
4,0,Sat.,3,Bates College,Middlebury College,Bowdoin College
5,0,Sat.,4,Bates College,Hamilton College,Bowdoin College
6,0,Sat.,5,Colby College,Middlebury College,Bowdoin College
7,0,Fri.,0,Williams College,Wesleyan University,Williams College
8,0,Sat.,1,Williams College,Connecticut College,Williams College
9,0,Sat.,2,Williams College,Trinity College,Williams College
10,1,Fri.,0,Colby College,Williams College,Bates College
11,1,Sat.,1,Bates College,Williams College,Bates College
12,1,Sat.,2,Bowdoin College,Williams College,Bates College
13,1,Sat.,0,Hamilton College,Middlebury College,Hamilton College
14,1,Fri.,0,Tufts University,Wesleyan University,Tufts University
15,1,Fri.,1,Amherst College,Trinity College,Tufts University
16,1,Sat.,2,Amherst College,Wesleyan University,Tufts University
17,1,Sat.,3,Amherst College,Connecticut College,Tufts University
18,1,Sat.,4,Tufts University,Connecticut College,Tufts University
19,1,Sat.,5,Tufts University,Trinity College,Tufts University
20,2,Fri.,0,Bates College,Tufts University,Bates College
21,2,Fri.,1,Bowdoin College,Amherst College,Bates College
22,2,Sat.,2,Colby College,Tufts University,Bates College
23,2,Sat.,3,Bates College,Amherst College,Bates College
24,2,Sat.,4,Bowdoin College,Tufts University,Bates College
25,2,Sat.,5,Colby College,Amherst College,Bates College
26,2,Sat.,0,Middlebury College,Williams College,Hamilton College
27,2,Sat.,1,Hamilton College,Williams College,Hamilton College
28,2,Fri.,0,Trinity College,Wesleyan University,Trinity College
29,2,Sat.,1,Wesleyan University,Connecticut College,Trinity College
30,2,Sat.,2,Trinity College,Connecticut College,Trinity College
31,3,Sat.,0,Amherst College,Williams College,Amherst College
32,3,Sat.,1,Tufts University,Williams College,Amherst College
33,3,Fri.,0,Bowdoin College,Colby College,Colby College
34,3,Sat.,1,Bates College,Colby College,Colby College
35,3,Sat.,2,Bates College,Bowdoin College,Colby College
36,3,Fri.,0,Wesleyan University,Hamilton College,Wesleyan University
37,3,Fri.,1,Trinity College,Middlebury College,Wesleyan University
38,3,Sat.,2,Connecticut College,Middlebury College,Wesleyan University
39,3,Sat.,3,Wesleyan University,Middlebury College,Wesleyan University
40,3,Sat.,4,Connecticut College,Hamilton College,Wesleyan University
41,3,Sat.,5,Trinity College,Hamilton College,Wesleyan University
42,4,Fri.,0,Trinity College,Colby College,Connecticut College
43,4,Fri.,1,Wesleyan University,Bowdoin College,Connecticut College
44,4,Fri.,2,Connecticut College,Bates College,Connecticut College
45,4,Sat.,3,Trinity College,Bates College,Connecticut College
46,4,Sat.,4,Wesleyan University,Colby College,Connecticut College
47,4,Sat.,5,Wesleyan University,Bates College,Connecticut College
48,4,Sat.,6,Connecticut College,Bowdoin College,Connecticut College
49,4,Sat.,7,Trinity College,Bowdoin College,Connecticut College
50,4,Sat.,8,Connecticut College,Colby College,Connecticut College
51,4,Fri.,0,Hamilton College,Amherst College,Middlebury College
52,4,Fri.,1,Middlebury College,Tufts University,Middlebury College
53,4,Sat.,2,Hamilton College,Tufts University,Middlebury College
54,4,Sat.,3,Middlebury College,Amherst College,Middlebury College
