,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,2,Amherst College,Colby College,Trinity College
1,0,Sat.,4,Amherst College,Bowdoin College,Trinity College
2,0,Sat.,5,Amherst College,Bates College,Trinity College
3,1,Fri.,0,Amherst College,Connecticut College,Connecticut College
4,2,Fri.,0,Amherst College,Williams College,Amherst College
5,2,Sat.,3,Amherst College,Middlebury College,Amherst College
6,2,Sat.,5,Amherst College,Hamilton College,Amherst College
7,3,Sat.,1,Amherst College,Tufts University,Wesleyan University
8,4,Sat.,1,Amherst College,Trinity College,Wesleyan University
9,4,Sat.,2,Amherst College,Wesleyan University,Wesleyan University
10,0,Fri.,0,Bates College,Wesleyan University,Trinity College
11,0,Sat.,5,Bates College,Amherst College,Trinity College
12,0,Sat.,6,Bates College,Trinity College,Trinity College
13,1,Fri.,0,Bates College,Bowdoin College,Bowdoin College
14,1,Sat.,2,Bates College,Colby College,Bowdoin College
15,2,Fri.,0,Bates College,Tufts University,Colby College
16,3,Sat.,2,Bates College,Connecticut College,Bates College
17,4,Fri.,0,Bates College,Hamilton College,Middlebury College
18,4,Sat.,7,Bates College,Williams College,Middlebury College
19,4,Sat.,8,Bates College,Middlebury College,Middlebury College
20,0,Fri.,1,Bowdoin College,Trinity College,Trinity College
21,0,Sat.,3,Bowdoin College,Wesleyan University,Trinity College
22,0,Sat.,4,Bowdoin College,Amherst College,Trinity College
23,1,Fri.,0,Bowdoin College,Bates College,Bowdoin College
24,1,Sat.,1,Bowdoin College,Colby College,Bowdoin College
25,2,Sat.,2,Bowdoin College,Tufts University,Colby College
26,3,Fri.,0,Bowdoin College,Connecticut College,Bates College
27,4,Fri.,2,Bowdoin College,Williams College,Middlebury College
28,4,Sat.,3,Bowdoin College,Hamilton College,Middlebury College
29,4,Sat.,5,Bowdoin College,Middlebury College,Middlebury College
30,0,Fri.,2,Colby College,Amherst College,Trinity College
31,0,Sat.,7,Colby College,Trinity College,Trinity College
32,0,Sat.,8,Colby College,Wesleyan University,Trinity College
33,1,Sat.,1,Colby College,Bowdoin College,Bowdoin College
34,1,Sat.,2,Colby College,Bates College,Bowdoin College
35,2,Sat.,1,Colby College,Tufts University,Colby College
36,3,Sat.,1,Colby College,Connecticut College,Bates College
37,4,Fri.,1,Colby College,Middlebury College,Middlebury College
38,4,Sat.,4,Colby College,Hamilton College,Middlebury College
39,4,Sat.,6,Colby College,Williams College,Middlebury College
40,0,Fri.,0,Connecticut College,Middlebury College,Williams College
41,0,Sat.,1,Connecticut College,Hamilton College,Williams College
42,0,Sat.,2,Connecticut College,Williams College,Williams College
43,1,Fri.,0,Connecticut College,Amherst College,Connecticut College
44,1,Sat.,1,Connecticut College,Wesleyan University,Connecticut College
45,1,Sat.,2,Connecticut College,Trinity College,Connecticut College
46,3,Fri.,0,Connecticut College,Bowdoin College,Bates College
47,3,Sat.,1,Connecticut College,Colby College,Bates College
48,3,Sat.,2,Connecticut College,Bates College,Bates College
49,4,Sat.,0,Connecticut College,Tufts University,Tufts University
50,0,Sat.,1,Hamilton College,Connecticut College,Williams College
51,1,Fri.,0,Hamilton College,Tufts University,Williams College
52,2,Fri.,2,Hamilton College,Wesleyan University,Amherst College
53,2,Sat.,5,Hamilton College,Amherst College,Amherst College
54,2,Sat.,6,Hamilton College,Trinity College,Amherst College
55,3,Fri.,0,Hamilton College,Middlebury College,Hamilton College
56,3,Sat.,2,Hamilton College,Williams College,Hamilton College
57,4,Fri.,0,Hamilton College,Bates College,Middlebury College
58,4,Sat.,3,Hamilton College,Bowdoin College,Middlebury College
59,4,Sat.,4,Hamilton College,Colby College,Middlebury College
60,0,Fri.,0,Middlebury College,Connecticut College,Williams College
61,1,Sat.,2,Middlebury College,Tufts University,Williams College
